Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Gpu,OpSys,Weight,SSD,HDD,Flash,Hybrid,Price_rupees
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,Intel,macOS,1.37,128,0,0,0,140667.45
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,Intel,macOS,1.34,0,0,128,0,94388.70000000001
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,Intel,No OS,1.86,256,0,0,0,60375.0
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,others,16,AMD,macOS,1.83,512,0,0,0,266432.25
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,Intel,macOS,1.37,256,0,0,0,189378.0
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,AMD,Windows 10,2.1,0,500,0,0,42000.0
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,others,16,Intel,Mac OS X,2.04,0,0,256,0,224696.84999999998
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,Intel,macOS,1.34,0,0,256,0,121663.5
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,Nvidia,Windows 10,1.3,512,0,0,0,156975.0
Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.6,256,0,0,0,80850.0
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,Intel,No OS,1.86,0,500,0,0,41359.5
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,Intel,No OS,1.86,0,500,0,0,36223.950000000004
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,others,16,AMD,macOS,1.83,256,0,0,0,256196.84999999998
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,AMD,Windows 10,2.2,256,0,0,0,52384.5
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,others,8,Intel,macOS,0.92,256,0,0,0,132552.0
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,Intel,macOS,1.37,256,0,0,0,159447.75
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,AMD,Windows 10,2.2,256,0,0,0,78225.0
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,others,16,AMD,macOS,1.83,512,0,0,0,300090.0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,Nvidia,No OS,2.2,0,1000,0,0,52395.0
Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.22,128,0,0,0,102795.0
Asus,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,Intel,Windows 10,0.98,0,0,32,0,20149.5
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,Nvidia,Windows 10,2.5,128,1000,0,0,104895.0
HP,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,AMD,No OS,1.86,0,500,0,0,27090.0
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,Intel,Windows 10,1.62,256,0,0,0,85995.0
HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,Intel,Windows 10,1.91,256,0,0,0,69195.0
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,Intel,Windows 10,2.3,0,1000,0,0,43957.2
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,Intel,Mac OS X,1.35,0,0,128,0,115395.0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,AMD,Windows 10,2.2,256,0,0,0,84000.0
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,Intel,Windows 10,1.88,512,0,0,0,136290.0
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Nvidia,Windows 10,2.5,0,1000,0,0,94080.0
Others,Notebook,15.6,Full HD 1920x1080,others,4,Intel,Windows 10,1.89,0,0,64,0,25723.95
Asus,Notebook,14.0,1366x768,others,2,AMD,Windows 10,1.65,0,0,32,0,20895.0
HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,AMD,Windows 10,2.71,0,500,0,0,46095.0
Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,Intel,Windows 10,1.2,512,0,0,0,196245.0
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,Intel,Mac OS X,1.35,0,0,256,0,104790.0
Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,Intel,Windows 10,1.44,0,0,64,0,26145.0
Acer,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,Intel,Linux,2.1,0,1000,0,0,38535.0
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,AMD,Windows 10,2.8,128,1000,0,0,102795.0
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,Intel,Windows 10,1.86,0,1000,0,0,51312.45
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,Nvidia,Windows 10,2.1,256,0,0,0,92295.0
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,Intel,Linux,2.0,0,1000,0,0,40845.0
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,Nvidia,Windows 10,2.65,256,1000,0,0,157395.0
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,Nvidia,Linux,2.3,0,1000,0,0,54913.950000000004
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,Intel,Windows 10,2.2,256,0,0,0,71610.0
Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,Nvidia,Windows 10,2.77,0,1000,0,0,104895.0
